trait,year,mother,line,replicate,value
seed_yield,2022,M1,LI1,1,2.434224489795918
oil_content,2022,M1,LI1,1,45.7
seed_weight_1000,2022,M1,LI1,1,72.80000000000001
seed_yield,2022,M1,LI1,2,3.0015
oil_content,2022,M1,LI1,2,45.2
seed_weight_1000,2022,M1,LI1,2,74.19999999999999
seed_yield,2022,M1,LI1,3,3.238530612244898
oil_content,2022,M1,LI1,3,45.4
seed_weight_1000,2022,M1,LI1,3,72.3
seed_yield,2022,M1,LI2,1,2.399602040816327
oil_content,2022,M1,LI2,1,51.0
seed_weight_1000,2022,M1,LI2,1,58.6
seed_yield,2022,M1,LI2,2,3.081397959183673
oil_content,2022,M1,LI2,2,52.5
seed_weight_1000,2022,M1,LI2,2,57.9
seed_yield,2022,M1,LI2,3,2.812408163265306
oil_content,2022,M1,LI2,3,53.7
seed_weight_1000,2022,M1,LI2,3,55.2
seed_yield,2022,M1,LI3,1,3.350387755102041
oil_content,2022,M1,LI3,1,50.5
seed_weight_1000,2022,M1,LI3,1,56.8
seed_yield,2022,M1,LI3,2,2.695224489795919
oil_content,2022,M1,LI3,2,49.6
seed_weight_1000,2022,M1,LI3,2,56.4
seed_yield,2022,M1,LI3,3,2.849693877551021
oil_content,2022,M1,LI3,3,50.2
seed_weight_1000,2022,M1,LI3,3,59.0
seed_yield,2022,M1,LI4,1,3.651336734693878
oil_content,2022,M1,LI4,1,50.0
seed_weight_1000,2022,M1,LI4,1,57.4
seed_yield,2022,M1,LI4,2,3.227877551020408
oil_content,2022,M1,LI4,2,51.2
seed_weight_1000,2022,M1,LI4,2,52.90000000000001
seed_yield,2022,M1,LI4,3,3.0015
oil_content,2022,M1,LI4,3,50.2
seed_weight_1000,2022,M1,LI4,3,55.8
seed_yield,2022,M1,LI5,1,2.452867346938776
oil_content,2022,M1,LI5,1,51.5
seed_weight_1000,2022,M1,LI5,1,53.8
seed_yield,2022,M1,LI5,2,2.484826530612245
oil_content,2022,M1,LI5,2,53.7
seed_weight_1000,2022,M1,LI5,2,54.7
seed_yield,2022,M1,LI5,3,1.813683673469388
oil_content,2022,M1,LI5,3,52.7
seed_weight_1000,2022,M1,LI5,3,63.40000000000001
seed_yield,2022,M1,LI6,1,4.452979591836735
oil_content,2022,M1,LI6,1,52.8
seed_weight_1000,2022,M1,LI6,1,56.8
seed_yield,2022,M1,LI6,2,3.459581632653061
oil_content,2022,M1,LI6,2,49.7
seed_weight_1000,2022,M1,LI6,2,58.4
seed_yield,2022,M1,LI6,3,3.105367346938776
oil_content,2022,M1,LI6,3,49.6
seed_weight_1000,2022,M1,LI6,3,63.6
seed_yield,2022,M1,LI7,1,2.253122448979592
oil_content,2022,M1,LI7,1,50.5
seed_weight_1000,2022,M1,LI7,1,53.6
seed_yield,2022,M1,LI7,2,3.32641836734694
oil_content,2022,M1,LI7,2,54.1
seed_weight_1000,2022,M1,LI7,2,57.8
seed_yield,2022,M1,LI7,3,2.633969387755102
oil_content,2022,M1,LI7,3,52.3
seed_weight_1000,2022,M1,LI7,3,53.9
seed_yield,2022,M1,LI8,1,2.988183673469388
oil_content,2022,M1,LI8,1,52.0
seed_weight_1000,2022,M1,LI8,1,56.1
seed_yield,2022,M1,LI8,2,3.53415306122449
oil_content,2022,M1,LI8,2,52.1
seed_weight_1000,2022,M1,LI8,2,59.6
seed_yield,2022,M1,LI8,3,4.511571428571428
oil_content,2022,M1,LI8,3,50.8
seed_weight_1000,2022,M1,LI8,3,58.90000000000001
seed_yield,2022,M1,LI9,1,2.977530612244899
oil_content,2022,M1,LI9,1,51.4
seed_weight_1000,2022,M1,LI9,1,50.0
seed_yield,2022,M1,LI9,2,2.463520408163265
oil_content,2022,M1,LI9,2,48.5
seed_weight_1000,2022,M1,LI9,2,48.2
seed_yield,2022,M1,LI9,3,3.203908163265306
oil_content,2022,M1,LI9,3,47.8
seed_weight_1000,2022,M1,LI9,3,47.3
