mother,mother_long,father,days_emergence_flowering,plant_height,head_diameter,oil_content,seed_weight_1000,seed_yield,oil_yield,confectionery_father
M1,VK101A,LI1,52.66666666666667,158.80833333333334,19.3,47.46666666666667,71.6,2.621984693877552,1.2445687346938776,False
M1,VK101A,LI10,50.5,153.04166666666669,16.15,50.866666666666674,67.15,2.400489795918367,1.2210491428571428,False
M1,VK101A,LI11,53.66666666666667,173.0527777777778,19.03611111111111,51.78333333333333,62.0,3.080954081632653,1.5954207219387757,False
M1,VK101A,LI12,57.83333333333333,174.39999999999998,19.008333333333333,48.5,66.65,3.6992755102040817,1.7941486224489795,False
M1,VK101A,LI13,55.0,171.5861111111111,18.947222222222223,50.41666666666667,66.85,2.710760204081633,1.36667493622449,False
M1,VK101A,LI14,55.33333333333333,168.35555555555555,19.71388888888889,50.4,63.2,3.735229591836735,1.8825557142857143,False
M1,VK101A,LI15,53.5,167.3777777777778,18.38611111111112,49.9,65.0,2.7125357142857145,1.3535553214285716,False
M1,VK101A,LI16,56.5,172.0,21.49722222222222,51.53333333333334,53.65,3.756091836734696,1.9356393265306129,False
M1,VK101A,LI17,57.33333333333333,175.95277777777778,19.86111111111111,52.46666666666667,55.8,3.43605612244898,1.8027841122448984,False
M1,VK101A,LI18,56.5,175.575,19.641666666666666,52.71666666666667,57.75,3.6715331632653054,1.9355098992346944,False
M1,VK101A,LI19,56.83333333333333,184.2333333333333,19.73333333333333,52.7,56.3,3.807137755102041,2.006361596938776,False
M1,VK101A,LI2,53.83333333333333,156.20833333333334,18.25,52.98333333333333,59.3,3.2815867346938776,1.7386940382653062,False
M1,VK101A,LI20,57.16666666666667,173.90833333333333,17.65,50.766666666666666,55.1,2.6606020408163267,1.3506989693877551,False
M1,VK101A,LI21,57.0,169.49166666666667,17.625,50.08333333333333,70.9,3.709484693877551,1.8578335841836733,False
M1,VK101A,LI22,54.83333333333333,160.45,17.75,50.05,66.1,3.097377551020408,1.5502374642857142,False
M1,VK101A,LI23,54.16666666666667,163.6,19.291666666666668,49.95,81.69999999999999,3.601178571428571,1.7987886964285713,False
M1,VK101A,LI24,55.16666666666667,164.95277777777778,18.502777777777773,49.86666666666666,59.75,2.7231887755102044,1.3579634693877551,False
M1,VK101A,LI25,55.66666666666667,159.64999999999998,17.366666666666667,49.93333333333334,75.75,3.919438775510204,1.9571064285714288,False
M1,VK101A,LI26,52.66666666666667,158.07651515151514,17.606060606060606,49.83333333333333,62.95,3.1905918367346944,1.5899782653061223,False
M1,VK101A,LI27,56.33333333333333,157.875,18.183333333333337,49.91666666666666,60.45,3.5124030612244903,1.7532745280612247,False
M1,VK101A,LI28,55.5,171.99166666666667,16.958333333333332,50.13333333333333,63.15,3.5132908163265304,1.7613297959183671,False
M1,VK101A,LI29,54.66666666666667,178.98888888888888,17.025,42.95,109.15,3.448928571428572,1.4813148214285716,True
M1,VK101A,LI3,53.66666666666667,152.825,18.13888888888889,50.8,56.45,3.054765306122449,1.551820775510204,False
M1,VK101A,LI30,55.5,177.45277777777778,17.78611111111111,39.81666666666666,98.5,2.994841836734694,1.1924461913265303,True
M1,VK101A,LI31,54.66666666666667,167.89166666666668,18.866666666666667,47.05,64.9,2.947790816326531,1.3869355790816331,False
M1,VK101A,LI32,55.66666666666667,169.28055555555557,19.372222222222224,51.43333333333332,57.85,3.029464285714285,1.558154464285714,False
M1,VK101A,LI33,55.83333333333333,162.81666666666666,17.475,50.14999999999999,71.45,3.1519744897959185,1.5807152066326529,False
M1,VK101A,LI34,52.5,175.05833333333334,19.98333333333333,49.266666666666666,67.3,2.764913265306123,1.3621806020408165,False
M1,VK101A,LI35,53.16666666666667,153.92045454545456,18.349242424242423,48.23333333333333,70.65,3.7383367346938776,1.8031244183673472,False
M1,VK101A,LI36,51.33333333333333,165.61666666666667,17.516666666666666,48.76666666666667,67.0,2.132387755102041,1.0398944285714289,False
M1,VK101A,LI38,54.66666666666667,168.075,18.59166666666667,51.33333333333333,54.5,3.532821428571429,1.813515,False
M1,VK101A,LI39,55.33333333333333,159.58333333333334,18.141666666666666,50.81666666666667,61.900000000000006,3.423183673469388,1.739547836734694,False
M1,VK101A,LI4,53.5,156.35833333333335,17.85,51.0,56.9,3.619821428571429,1.8461089285714285,False
M1,VK101A,LI40,56.33333333333333,162.73333333333335,20.10833333333333,52.06666666666666,56.9,2.9562244897959187,1.5392075510204082,False
M1,VK101A,LI41,54.66666666666667,170.19166666666666,19.691666666666663,51.41666666666667,61.35,3.806693877551021,1.9572751020408168,False
M1,VK101A,LI42,54.5,165.64999999999998,19.10833333333333,50.73333333333333,50.5,2.700107142857143,1.3698543571428572,False
M1,VK101A,LI43,54.0,180.09166666666667,19.53333333333333,50.18333333333334,51.4,3.0729642857142867,1.5421159107142863,False
M1,VK101A,LI44,55.16666666666667,173.26666666666668,18.541666666666664,50.28333333333334,50.35,2.693892857142857,1.354579125,False
M1,VK101A,LI45,55.5,185.55,19.08333333333333,52.7,56.5,3.1035918367346937,1.6355928979591838,False
M1,VK101A,LI46,59.0,177.825,19.216666666666665,52.46666666666667,58.2,3.5212806122448983,1.84749856122449,False
M1,VK101A,LI47,57.5,175.29166666666666,17.916666666666664,50.64999999999999,59.75,2.967765306122449,1.5031731275510205,False
M1,VK101A,LI48,55.0,164.23333333333335,17.833333333333336,50.016666666666666,55.3,3.070744897959184,1.5358842397959185,False
M1,VK101A,LI49,54.16666666666667,170.95833333333331,17.6,50.25,56.7,2.812408163265306,1.4132351020408165,False
M1,VK101A,LI5,54.33333333333333,156.98333333333335,17.75,53.11666666666667,56.85,2.5194489795918367,1.3382473163265305,False
M1,VK101A,LI50,56.83333333333333,178.19166666666666,18.40833333333333,48.93333333333334,70.9,3.0813979591836738,1.5078307346938775,False
M1,VK101A,LI51,56.66666666666667,171.825,20.36111111111111,50.61666666666666,54.45,3.1435408163265306,1.5911555765306122,False
M1,VK101A,LI52,56.0,168.99166666666667,18.991666666666667,51.333333333333336,65.44999999999999,3.5372602040816323,1.815793571428572,False
M1,VK101A,LI53,56.33333333333333,159.89166666666665,19.308333333333334,51.16666666666666,55.75,3.671977040816327,1.8788282525510205,False
M1,VK101A,LI54,54.5,150.525,18.288888888888888,50.33333333333333,61.85,3.568775510204081,1.7962836734693874,False
M1,VK101A,LI6,53.83333333333333,158.43333333333334,17.691666666666666,51.633333333333326,59.45,3.4755612244897964,1.794548112244898,False
M1,VK101A,LI7,54.83333333333333,161.7111111111111,20.605555555555554,51.2,61.85,3.3734693877551023,1.7272163265306122,False
M1,VK101A,LI8,56.0,158.9138888888889,19.772222222222226,51.3,58.95,3.877270408163265,1.989039719387755,False
M1,VK101A,LI9,53.33333333333333,144.225,15.3,49.33333333333333,52.1,3.024581632653061,1.49212693877551,False
M2,VA761A,LI1,52.5,155.53055555555557,19.39444444444445,46.85,71.0,2.657938775510204,1.2452443163265303,False
M2,VA761A,LI10,50.5,128.28333333333333,17.116666666666667,46.78333333333333,72.25,2.626423469387756,1.2287284464285717,False
M2,VA761A,LI11,56.0,162.275,18.725,46.883333333333326,66.6,3.7285714285714286,1.7480785714285714,False
M2,VA761A,LI12,57.0,167.8,17.85,46.71666666666667,71.85,3.441382653061225,1.6076992627551023,False
M2,VA761A,LI13,55.0,146.875,17.8,49.23333333333333,63.45,3.431173469387756,1.6892810714285715,False
M2,VA761A,LI14,57.0,152.25,18.425,48.61666666666666,64.25,2.922045918367348,1.420601323979592,False
M2,VA761A,LI15,55.5,150.875,19.225,48.31666666666666,67.0,3.422739795918368,1.6537537780612246,False
M2,VA761A,LI16,57.5,161.5,19.325,48.45,61.2,3.57765306122449,1.7333729081632654,False
M2,VA761A,LI17,58.0,165.45,19.675,49.58333333333333,56.75,3.6251479591836735,1.7974691964285714,False
M2,VA761A,LI18,57.5,169.175,19.866666666666667,49.150000000000006,61.4,4.240362244897959,2.084138043367347,False
M2,VA761A,LI19,58.0,169.53333333333333,23.950000000000003,50.333333333333336,55.55,3.1928112244897964,1.6070483163265308,False
M2,VA761A,LI2,55.0,159.9280303030303,18.578030303030303,49.4,65.85,3.334408163265306,1.647197632653061,False
M2,VA761A,LI20,57.0,161.575,19.60833333333333,49.13333333333334,54.55,3.6389081632653055,1.7879168775510208,False
M2,VA761A,LI21,56.5,152.76666666666665,17.508333333333333,49.03333333333333,70.30000000000001,3.431617346938776,1.6826363724489797,False
M2,VA761A,LI22,55.0,147.99166666666667,17.275,46.78333333333333,70.94999999999999,3.1217908163265307,1.4604778035714283,False
M2,VA761A,LI23,56.5,160.04166666666666,18.016666666666666,48.35,67.75,3.680188775510204,1.7793712729591835,False
M2,VA761A,LI24,56.5,155.625,18.35,48.86666666666666,57.3,3.245188775510204,1.585815581632653,False
M2,VA761A,LI25,57.0,164.06666666666666,19.275,46.4,71.75,3.676859693877552,1.706062897959184,False
M2,VA761A,LI27,56.5,152.30833333333334,18.616666666666667,47.63333333333334,64.85,4.074352040816327,1.940749688775511,False
M2,VA761A,LI28,56.0,154.69166666666666,18.98333333333333,47.93333333333334,73.0,3.1630714285714285,1.5161655714285716,False
M2,VA761A,LI29,54.0,166.75,16.65,40.88333333333333,92.7,3.0232500000000004,1.2360053750000002,True
M2,VA761A,LI3,53.0,132.525,17.125,50.1,48.45,2.716086734693878,1.3607594540816328,False
M2,VA761A,LI30,54.5,168.1,18.675,38.81666666666666,94.95,3.3370714285714285,1.2953398928571425,True
