panel,model,trait,n_SNP,BLINK_n_p<5e-8,n_pseudo_QTN
54_with_confectionery,3_PC_standardised_canon,oil_content,81903,53,6
54_with_confectionery,3_PC_standardised_canon,seed_weight_1000,81903,45,6
54_with_confectionery,3_PC_standardised_canon,hull_content,81903,108,1
54_with_confectionery,3_PC_standardised_canon,head_diameter,81903,0,0
54_with_confectionery,3_PC_standardised_canon,plant_height,81903,0,1
54_with_confectionery,3_PC_standardised_canon,days_emergence_flowering,81903,0,0
54_with_confectionery,3_PC_standardised_canon,days_central_to_side,81903,0,0
54_with_confectionery,3_PC_standardised_canon,autofertility_self,81903,0,0
54_with_confectionery,3_PC_standardised_canon,autofertility_open,81903,1,5
54_with_confectionery,3_PC_centred,oil_content,81903,29,9
54_with_confectionery,3_PC_centred,seed_weight_1000,81903,45,2
54_with_confectionery,3_PC_centred,hull_content,81903,107,9
54_with_confectionery,3_PC_centred,head_diameter,81903,0,1
54_with_confectionery,3_PC_centred,plant_height,81903,0,0
54_with_confectionery,3_PC_centred,days_emergence_flowering,81903,0,1
54_with_confectionery,3_PC_centred,days_central_to_side,81903,0,0
54_with_confectionery,3_PC_centred,autofertility_self,81903,1,1
54_with_confectionery,3_PC_centred,autofertility_open,81903,0,2
52_oilseed_only,3_PC_standardised_canon,oil_content,80410,0,0
52_oilseed_only,3_PC_standardised_canon,seed_weight_1000,80410,0,1
52_oilseed_only,3_PC_standardised_canon,hull_content,80410,2,1
52_oilseed_only,3_PC_standardised_canon,head_diameter,80410,1,1
52_oilseed_only,3_PC_standardised_canon,plant_height,80410,0,1
52_oilseed_only,3_PC_standardised_canon,days_emergence_flowering,80410,0,0
52_oilseed_only,3_PC_standardised_canon,days_central_to_side,80410,0,0
52_oilseed_only,3_PC_standardised_canon,autofertility_self,80410,1,1
52_oilseed_only,3_PC_standardised_canon,autofertility_open,80410,0,0
52_oilseed_only,3_PC_centred,oil_content,80410,0,0
52_oilseed_only,3_PC_centred,seed_weight_1000,80410,2,2
52_oilseed_only,3_PC_centred,hull_content,80410,0,1
52_oilseed_only,3_PC_centred,head_diameter,80410,0,0
52_oilseed_only,3_PC_centred,plant_height,80410,0,1
52_oilseed_only,3_PC_centred,days_emergence_flowering,80410,0,0
52_oilseed_only,3_PC_centred,days_central_to_side,80410,0,1
52_oilseed_only,3_PC_centred,autofertility_self,80410,1,1
52_oilseed_only,3_PC_centred,autofertility_open,80410,0,0
