panel,model,trait,threshold,threshold_CI_lo,threshold_CI_hi,n,n_at_CI_lo,n_at_CI_hi
54_with_confectionery,no_PC,oil_content,2.7326761983208984e-06,2.2135657960778176e-06,3.086267248738696e-06,31,31,31
54_with_confectionery,no_PC,hull_content,2.542942486999664e-06,2.216316951203237e-06,3.0556690096104604e-06,106,106,107
54_with_confectionery,no_PC,seed_weight_1000,2.732721555405127e-06,2.247387611103484e-06,3.083691093276099e-06,40,37,43
54_with_confectionery,3_PC_canon,oil_content,2.660635306401966e-06,2.1379802060025416e-06,3.233067678536953e-06,27,27,27
54_with_confectionery,3_PC_canon,hull_content,2.6041049187814083e-06,2.2229150072561888e-06,3.144017048028965e-06,0,0,0
54_with_confectionery,3_PC_canon,seed_weight_1000,2.6606443051521742e-06,2.1084543445999863e-06,3.233000398991983e-06,1,1,1
52_oilseed_only,no_PC,oil_content,2.3741859677616813e-06,1.8354136615764823e-06,2.894859702962152e-06,0,0,0
52_oilseed_only,no_PC,hull_content,2.418442441434519e-06,1.820361092087058e-06,2.921549551367611e-06,0,0,0
52_oilseed_only,no_PC,seed_weight_1000,2.032659985263329e-06,1.665064099103928e-06,2.429009947410288e-06,0,0,0
52_oilseed_only,3_PC_canon,oil_content,2.1080313640842927e-06,1.7469866141110434e-06,2.782138364477576e-06,0,0,0
52_oilseed_only,3_PC_canon,hull_content,2.379613241549415e-06,1.8632411683781543e-06,2.9524666046176938e-06,0,0,0
52_oilseed_only,3_PC_canon,seed_weight_1000,2.108041395598927e-06,1.716925425813232e-06,2.7820895022672675e-06,0,0,0
