VCF,group,n,r_dist_yield,p_yield,r_dist_oil,p_oil
merged,ALL,159,0.244,0.002,0.176,0.026
merged,VK101A,53,0.2,0.151,0.148,0.289
merged,VA761A,53,0.183,0.189,0.136,0.331
merged,VK934A,53,0.417,0.002,0.414,0.002
var1,ALL,159,0.295,0.0,0.243,0.002
var1,VK101A,53,0.299,0.029,0.259,0.061
var1,VA761A,53,0.214,0.124,0.172,0.217
var1,VK934A,53,0.456,0.001,0.486,0.0
var2,ALL,159,0.137,0.085,0.16,0.043
var2,VK101A,53,0.075,0.592,0.089,0.528
var2,VA761A,53,0.293,0.033,0.276,0.045
var2,VK934A,53,0.091,0.517,0.111,0.431
