trial,chr,pos,rank_causal,rank_window,p_causal,n_pseudo,hit_rank1,hit_top5,panel
1,4,182460187,2,1,6.825747261423316e-22,3,True,True,analysis_panel
2,11,33263996,3,1,9.755347961896244e-18,0,True,True,analysis_panel
3,4,207745417,2,1,4.624137300915853e-16,0,True,True,analysis_panel
4,3,15710729,7,1,8.266558390453843e-16,1,True,True,analysis_panel
5,3,8569968,2,1,2.004873337949549e-17,9,True,True,analysis_panel
6,9,128966680,2,1,5.232372638737098e-20,0,True,True,analysis_panel
7,3,115650171,25,17,6.514575756994836e-19,2,False,False,analysis_panel
8,13,48945028,1,1,2.6119915284326696e-21,1,True,True,analysis_panel
9,15,150362293,1,1,2.376294232651391e-19,0,True,True,analysis_panel
10,17,9775001,1,1,1.5158693833044157e-18,10,True,True,analysis_panel
1,8,22103774,1,1,6.189323156964835e-18,0,True,True,matrix_54
2,6,39119107,1,1,1.5919495451379674e-18,0,True,True,matrix_54
3,16,20232755,1,1,2.4759323302191887e-22,0,True,True,matrix_54
4,3,129772899,1,1,3.602464693277071e-18,2,True,True,matrix_54
5,12,10026042,1,1,9.306258497906621e-22,0,True,True,matrix_54
6,6,29336177,1,1,2.6596488050420184e-24,2,True,True,matrix_54
7,13,160860323,1,1,4.405352385274291e-19,1,True,True,matrix_54
8,4,186018857,1,1,2.6404960748380355e-20,0,True,True,matrix_54
9,9,73551832,1,1,5.0563352860332475e-19,2,True,True,matrix_54
10,13,92253012,1,1,6.057081719381744e-21,3,True,True,matrix_54
