chr,pos,p_dom,beta_dom
1,118419,0.5465185649936504,-0.7638717422752601
1,118901,0.4240345139942191,0.5837303263140694
1,118908,0.5179616190443166,0.4568141518872499
1,119514,0.5219950142808149,-0.8193670074261574
1,119571,0.8670078028304685,0.1324654988512443
1,119580,0.8670078028304685,0.1324654988512443
1,132394,0.6603051733523588,0.3225335317143324
1,132410,0.6603051733523588,0.3225335317143324
1,132441,0.6958400352468125,0.3097797041855005
1,132489,0.7594240693810325,0.2222290642318614
1,134192,0.8670078028304685,0.1324654988512443
1,134636,0.8599419052452597,0.1311906246268904
1,134639,0.8599419052452597,0.1311906246268904
1,134756,0.8151212089394153,0.1711840647220976
1,134761,0.980588379035296,0.0178416722001477
1,134762,0.8372669660691308,-0.1467429725060457
1,134768,0.8151212089394153,0.1711840647220976
1,135029,0.8151212089394153,0.1711840647220976
1,135043,0.8071160113059043,-0.1905626606977703
1,135047,0.0670082472264264,-1.9868920005804351
1,135053,0.8151212089394153,0.1711840647220976
1,135106,0.8151212089394153,0.1711840647220976
1,526120,0.2038383985530926,47.04321914029606
1,526137,0.204111925078356,46.13312941149061
1,526259,0.1679938297890275,-1.1227267975790398
1,526261,0.0965747968643808,-1.522529814632956
1,526642,0.1102343295852852,-1.481471639973969
1,557424,0.1583000296691701,1.050380164439888
1,557435,0.1583000296691701,1.050380164439888
1,557830,0.1938537202283297,0.7963355013043517
1,557963,0.3561534610183413,0.6463138514107551
1,558022,0.2476983436812592,0.8470433736918582
1,558044,0.2476983436812592,0.8470433736918582
1,558074,0.2476983436812592,0.8470433736918582
1,558085,0.2476983436812592,0.8470433736918582
1,558095,0.2476983436812592,0.8470433736918582
1,765552,0.1637950258469224,1.0251011640224774
1,765565,0.1637950258469224,1.0251011640224774
1,765610,0.1637950258469224,1.0251011640224774
1,765626,0.1637950258469224,1.0251011640224774
1,766068,0.1503034806758739,0.8928287178964172
1,779158,,
1,779215,0.6331352164778488,0.3467736872892073
1,779227,0.6286886620853863,2.140817054667667
1,779233,0.2337524182293737,0.8618132800216528
1,779271,,
