config,trait,n,n_SNP,BLINK_top,BLINK_p,BLINK_npseudo,BLINK_n5e8,EMMAX_top,EMMAX_p,EMMAX_λ,EMMAX_n5e8,BLINK_eq_EMMAX_1Mb
54_with_confectionery,plant_height,54,263498,chr13:136.79M,1e-08,5,2,chr13:136.79M,3.54e-07,0.97,0,✓
54_with_confectionery,head_diameter,54,263498,chr17:1.66M,1.17e-07,0,0,chr17:1.66M,1.38e-07,1.03,0,✓
54_with_confectionery,oil_content,54,263498,chr10:7.01M,1.09e-15,2,266,chr10:7.01M,1.15e-09,1.03,49,✓
54_with_confectionery,hull_content,54,263498,chr10:7.01M,1.48e-12,8,791,chr10:7.01M,1.02e-08,0.99,1,✓
54_with_confectionery,seed_weight_1000,54,263498,chr5:105.50M,5.33e-13,2,256,chr5:105.50M,3.4e-08,1.05,1,✓
54_with_confectionery,autofertility_self,54,263498,chr9:122.15M,3.21e-06,0,0,chr9:122.15M,5.74e-06,1.05,0,✓
54_with_confectionery,autofertility_open,54,263498,chr16:72.87M,2.69e-07,1,0,chr16:72.87M,5.85e-06,1.02,0,✓
54_with_confectionery,days_emergence_flowering,54,263498,chr5:90.15M,2e-06,0,0,chr5:90.15M,5.19e-06,0.99,0,✓
54_with_confectionery,days_central_to_side,54,263498,chr1:132.67M,4.55e-07,1,0,chr7:144.16M,3.99e-06,0.99,0,—
52_oilseed,plant_height,52,250922,chr13:136.79M,3.02e-08,5,1,chr13:136.79M,2.48e-07,0.99,0,✓
52_oilseed,head_diameter,52,250922,chr4:147.88M,4.75e-07,3,0,chr17:1.66M,1.98e-07,0.96,0,—
52_oilseed,oil_content,52,250922,chr10:172.82M,9.06e-09,2,40,chr1:145.49M,1.66e-06,0.95,0,—
52_oilseed,hull_content,52,250922,chr8:22.68M,2.84e-08,4,1,chr8:7.62M,7.6e-06,1.02,0,—
52_oilseed,seed_weight_1000,52,250922,chr13:68.76M,1.36e-06,0,0,chr13:68.76M,3.78e-07,0.99,0,✓
52_oilseed,autofertility_self,52,250922,chr11:183.86M,8.36e-07,0,0,chr9:122.15M,4.89e-06,1.06,0,—
52_oilseed,autofertility_open,52,250922,chr17:10.55M,4.88e-07,1,0,chr17:10.55M,1.59e-05,1.02,0,✓
52_oilseed,days_emergence_flowering,52,250922,chr5:90.15M,2.22e-06,0,0,chr5:90.15M,3.64e-06,0.98,0,✓
52_oilseed,days_central_to_side,52,250922,chr7:144.16M,9.85e-06,0,0,chr7:144.16M,9.85e-06,1.01,0,✓
